iter	Passed	Remaining
0	1	180
1	2	144
2	3	127
3	4	113
4	5	111
5	6	107
6	7	103
7	8	100
8	9	98
9	10	96
10	11	95
11	12	93
12	13	91
13	14	89
14	15	88
15	16	86
16	17	85
17	18	84
18	19	82
19	20	81
20	21	80
21	22	79
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	55
43	43	54
44	44	53
45	45	52
46	46	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	43
56	55	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
