iter	Passed	Remaining
0	156	156367
1	160	80284
2	164	54564
3	167	41639
4	171	34098
5	174	28867
6	177	25134
7	180	22331
8	184	20294
9	187	18556
10	190	17151
11	193	15958
12	198	15059
13	200	14120
14	202	13285
15	206	12675
16	209	12120
17	214	11709
18	218	11282
19	221	10868
20	223	10408
21	224	9989
22	226	9628
23	229	9322
24	230	9004
25	232	8726
26	234	8449
27	236	8194
28	237	7956
29	239	7735
30	242	7578
31	246	7449
32	248	7293
33	250	7130
34	253	6989
35	255	6853
36	258	6737
37	261	6626
38	263	6495
39	265	6361
40	266	6233
41	268	6116
42	270	6028
43	273	5944
44	277	5881
45	280	5815
46	282	5725
47	283	5630
48	285	5548
49	287	5464
50	291	5420
51	294	5372
52	297	5319
53	300	5267
54	303	5217
55	306	5172
56	310	5130
57	313	5087
58	316	5043
59	319	5001
60	322	4959
61	325	4919
62	328	4882
63	331	4841
64	334	4815
65	337	4773
66	340	4737
67	343	4701
68	345	4668
69	348	4632
70	350	4587
71	353	4555
72	356	4523
73	358	4491
74	361	4461
75	365	4443
76	367	4408
77	370	4375
78	372	4341
79	375	4317
80	377	4283
81	379	4250
82	380	4208
83	383	4180
84	386	4159
85	390	4151
86	393	4125
87	399	4136
88	402	4120
89	405	4100
90	408	4080
91	410	4055
92	414	4039
93	416	4019
94	419	4000
95	422	3980
96	425	3959
97	428	3946
98	432	3935
99	435	3923
100	439	3909
101	442	3894
102	446	3887
103	449	3875
104	451	3849
105	455	3838
106	458	3827
107	461	3815
108	464	3799
109	467	3784
110	470	3771
111	473	3751
112	475	3732
113	477	3711
114	480	3694
115	482	3677
116	485	3664
117	488	3652
118	491	3637
119	494	3623
120	496	3609
121	499	3591
122	501	3576
123	504	3563
124	507	3551
125	510	3541
126	512	3524
127	514	3504
128	516	3487
129	518	3470
130	521	3459
131	524	3447
132	526	3433
133	529	3422
134	533	3418
135	536	3409
136	542	3414
137	546	3411
138	549	3405
139	551	3387
140	552	3368
141	554	3353
142	556	3337
143	560	3330
144	562	3316
145	564	3299
146	566	3285
147	567	3267
148	569	3252
149	572	3244
150	576	3238
151	579	3230
152	582	3222
153	585	3214
154	587	3205
155	590	3197
156	594	3192
157	596	3181
158	599	3173
159	602	3160
160	603	3144
161	605	3134
162	608	3126
163	611	3119
164	614	3110
165	617	3101
166	620	3094
167	624	3091
168	627	3084
169	630	3076
170	633	3069
171	636	3061
172	637	3048
173	639	3037
174	642	3029
175	644	3015
176	646	3005
177	648	2993
178	651	2986
179	653	2978
180	656	2971
181	658	2958
182	660	2946
183	662	2937
184	664	2925
185	666	2917
186	668	2907
187	670	2897
188	672	2885
189	674	2875
190	675	2862
191	677	2852
192	680	2844
193	682	2835
194	684	2825
195	686	2817
196	689	2809
197	691	2799
198	692	2789
199	694	2777
200	696	2766
201	697	2756
202	700	2750
203	703	2743
204	706	2738
205	709	2734
206	712	2727
207	713	2717
208	717	2715
209	720	2712
210	723	2705
211	725	2698
212	730	2697
213	732	2691
214	734	2682
215	736	2674
216	741	2676
217	744	2669
218	746	2663
219	748	2655
220	750	2646
221	753	2639
222	755	2630
223	759	2629
224	762	2625
225	764	2618
226	767	2614
227	772	2614
228	776	2615
229	779	2610
230	781	2602
231	785	2599
232	787	2593
233	790	2588
234	793	2583
235	796	2579
236	800	2576
237	803	2571
238	806	2568
239	809	2561
240	811	2556
241	814	2551
242	818	2548
243	821	2545
244	824	2541
245	827	2536
246	829	2529
247	833	2527
248	837	2526
249	841	2525
250	843	2518
251	846	2512
